Time (secs),Sonar Distance (m)
1.1407434940338135,1.0
1.161355972290039,1.0
1.1816966533660889,1.0
1.2021019458770752,1.0
1.2224125862121582,1.0
1.2435541152954102,1.0
1.3450839519500732,1.0
1.3654201030731201,1.0
1.3857572078704834,1.0
1.4060938358306885,1.0
1.4465396404266357,1.0
1.4668614864349365,1.0
1.4871106147766113,1.0
1.5074305534362793,1.0
1.5277509689331055,1.0
1.5482456684112549,1.0
1.568967342376709,0.99
1.5892956256866455,0.98
1.6297776699066162,0.97
1.6500849723815918,0.96
1.6708593368530273,0.97
1.6912639141082764,0.95
1.7115790843963623,0.95
1.7319018840789795,0.94
1.7522666454315186,0.93
1.7729852199554443,0.93
1.8142390251159668,0.91
1.8347368240356445,0.91
1.998079538345337,0.83
2.0385806560516357,0.82
2.058899164199829,0.82
2.079145908355713,0.81
2.099600076675415,0.8
2.140561819076538,0.79
2.161038398742676,0.78
2.181472063064575,0.78
2.2024762630462646,0.77
2.222982406616211,0.76
2.2433297634124756,0.75
2.26369047164917,0.74
2.2840399742126465,0.74
2.4055116176605225,0.7
2.4664645195007324,0.68
2.487079381942749,0.66
2.5073440074920654,0.66
2.5277011394500732,0.65
2.5687336921691895,0.64
2.5893523693084717,0.64
2.610340118408203,0.63
2.6307454109191895,0.62
2.6510887145996094,0.61
2.6923553943634033,0.6
2.7129828929901123,0.6
2.733410596847534,0.6
2.7540833950042725,0.6
2.7745442390441895,0.58
2.815272569656372,0.58
2.8356003761291504,0.59
2.8561203479766846,0.56
2.8765480518341064,0.55
3.2018978595733643,0.45
