Time (secs),Sonar Distance (m)
4.410743713378906e-05,1.0
0.040808916091918945,1.0
0.24462604522705078,1.0
0.528139591217041,1.0
0.5488176345825195,1.0
0.5690968036651611,1.0
0.5897560119628906,1.0
0.6324114799499512,1.0
0.6532104015350342,1.0
0.6741306781768799,1.0
0.6944067478179932,1.0
0.7174243927001953,1.0
0.7380821704864502,1.0
0.7586772441864014,1.0
0.7789249420166016,1.0
0.7992556095123291,1.0
0.8195943832397461,1.0
0.8398444652557373,1.0
0.8604147434234619,1.0
0.8806414604187012,1.0
0.9008653163909912,1.0
0.9214587211608887,1.0
0.9427506923675537,1.0
0.9630072116851807,1.0
0.9842686653137207,1.0
1.0046966075897217,1.0
1.0251104831695557,1.0
1.0453925132751465,1.0
1.066333532333374,1.0
1.0866944789886475,1.0
1.107180118560791,1.0
1.1278014183044434,1.0
1.148087501525879,1.0
1.168379783630371,1.0
1.1887354850769043,1.0
1.209007978439331,1.0
1.2296326160430908,1.0
1.2499210834503174,1.0
1.2702345848083496,1.0
1.2908751964569092,1.0
1.3113455772399902,0.99
1.3316528797149658,0.99
1.353461503982544,0.98
1.374436616897583,0.97
1.394902229309082,0.97
1.4151241779327393,0.96
1.4353811740875244,0.95
1.4557116031646729,0.95
1.4760189056396484,0.94
1.4962925910949707,0.93
1.5165727138519287,0.92
1.5367915630340576,0.92
1.5571506023406982,0.91
1.5777196884155273,0.91
1.598010540008545,0.9
1.618316650390625,0.9
1.638814926147461,0.89
1.6593832969665527,0.88
1.67964506149292,0.88
1.7002942562103271,0.88
1.7206616401672363,0.88
1.740929126739502,0.88
1.7616114616394043,0.88
1.782663106918335,0.87
1.8029592037200928,0.87
1.8234293460845947,0.86
1.8442473411560059,0.87
1.9862141609191895,0.79
2.0064854621887207,0.78
2.0267906188964844,0.77
2.0471458435058594,0.77
2.067396640777588,0.77
2.1889898777008057,0.77
2.209731101989746,0.76
2.2306253910064697,0.72
2.251030921936035,0.74
2.2713680267333984,0.71
2.291774034500122,0.7
2.3120360374450684,0.69
2.3323874473571777,0.69
2.3529515266418457,0.69
2.4546918869018555,0.63
2.4752755165100098,0.61
2.495530605316162,0.61
2.5362026691436768,0.62
2.556532144546509,0.62
2.6175460815429688,0.55
2.6378231048583984,0.55
2.6582484245300293,0.55
2.678652048110962,0.53
2.698914051055908,0.53
2.7222542762756348,0.53
2.7427194118499756,0.51
2.7630486488342285,0.52
2.7832767963409424,0.52
2.8035781383514404,0.51
2.844165325164795,0.5
2.8846402168273926,0.52
3.0541112422943115,0.42
